Slice,Left,Right,Top,Bottom,Line_Avg,Dwell
662,1202,8603,4670,8003,2,700
2399,1202,8603,4670,8003,2,700
222,1202,8603,4670,8003,2,700
1486,1202,8603,4670,8003,2,700
331,1202,8603,4670,8003,2,700
2021,1202,8603,4670,8003,2,700
1067,1202,8603,4670,8003,2,700
1276,1202,8603,4670,8003,2,700
1208,1202,8603,4670,8003,2,700
2092,1202,8603,4670,8003,2,700
1060,1202,8603,4670,8003,2,700
508,1202,8603,4670,8003,2,700
1270,1202,8603,4670,8003,2,700
474,1202,8603,4670,8003,2,700
35,1050,8650,4670,8421,1,1200
1545,1202,8603,4670,8003,2,700
1718,1202,8603,4670,8003,2,700
496,1202,8603,4670,8003,2,700
808,1202,8603,4670,8003,2,700
877,1202,8603,4670,8003,2,700
1428,1202,8603,4670,8003,2,700
471,1202,8603,4670,8003,2,700
921,1202,8603,4670,8003,2,700
256,1202,8603,4670,8003,2,700
1462,1202,8603,4670,8003,2,700
188,1202,8603,4670,8003,2,700
1022,1202,8603,4670,8003,2,700
2213,1202,8603,4670,8003,2,700
376,1202,8603,4670,8003,2,700
1378,1202,8603,4670,8003,2,700
2439,1202,8603,4670,8003,2,700
1638,1202,8603,4670,8003,2,700
135,1202,8603,4670,8003,2,700
2014,1202,8603,4670,8003,2,700
1269,1202,8603,4670,8003,2,700
2280,1202,8603,4670,8003,2,700
185,1202,8603,4670,8003,2,700
410,1202,8603,4670,8003,2,700
2478,1202,8603,4670,8003,2,700
1721,1202,8603,4670,8003,2,700
2040,1202,8603,4670,8003,2,700
1969,1202,8603,4670,8003,2,700
2130,1202,8603,4670,8003,2,700
1884,1202,8603,4670,8003,2,700
202,1202,8603,4670,8003,2,700
1387,1202,8603,4670,8003,2,700
1146,1202,8603,4670,8003,2,700
1183,1202,8603,4670,8003,2,700
270,1202,8603,4670,8003,2,700
1780,1202,8603,4670,8003,2,700
375,1202,8603,4670,8003,2,700
39,1145,8650,4670,8421,1,1200
676,1202,8603,4670,8003,2,700
142,1202,8603,4670,8003,2,700
981,1202,8603,4670,8003,2,700
2442,1202,8603,4670,8003,2,700
1312,1202,8603,4670,8003,2,700
2389,1202,8603,4670,8003,2,700
1909,1202,8603,4670,8003,2,700
712,1202,8603,4670,8003,2,700
1769,1202,8603,4670,8003,2,700
980,1202,8603,4670,8003,2,700
875,1202,8603,4670,8003,2,700
1483,1202,8603,4670,8003,2,700
1327,1202,8603,4670,8003,2,700
1216,1202,8603,4670,8003,2,700
176,1202,8603,4670,8003,2,700
826,1202,8603,4670,8003,2,700
1491,1202,8603,4670,8003,2,700
1203,1202,8603,4670,8003,2,700
2242,1202,8603,4670,8003,2,700
243,1202,8603,4670,8003,2,700
652,1202,8603,4670,8003,2,700
2314,1202,8603,4670,8003,2,700
1353,1202,8603,4670,8003,2,700
1523,1202,8603,4670,8003,2,700
2275,1202,8603,4670,8003,2,700
773,1202,8603,4670,8003,2,700
2023,1202,8603,4670,8003,2,700
488,1202,8603,4670,8003,2,700
2194,1202,8603,4670,8003,2,700
1232,1202,8603,4670,8003,2,700
143,1202,8603,4670,8003,2,700
1855,1202,8603,4670,8003,2,700
1184,1202,8603,4670,8003,2,700
351,1202,8603,4670,8003,2,700
2289,1202,8603,4670,8003,2,700
2018,1202,8603,4670,8003,2,700
2045,1202,8603,4670,8003,2,700
506,1202,8603,4670,8003,2,700
404,1202,8603,4670,8003,2,700
737,1202,8603,4670,8003,2,700
2091,1202,8603,4670,8003,2,700
1932,1202,8603,4670,8003,2,700
1043,1202,8603,4670,8003,2,700
1818,1202,8603,4670,8003,2,700
1121,1202,8603,4670,8003,2,700
2237,1202,8603,4670,8003,2,700
422,1202,8603,4670,8003,2,700
74,1202,8603,4670,8032,2,800
1226,1202,8603,4670,8003,2,700
2288,1202,8603,4670,8003,2,700
2013,1202,8603,4670,8003,2,700
1894,1202,8603,4670,8003,2,700
878,1202,8603,4670,8003,2,700
221,1202,8603,4670,8003,2,700
1289,1202,8603,4670,8003,2,700
338,1202,8603,4670,8003,2,700
384,1202,8603,4670,8003,2,700
2446,1202,8603,4670,8003,2,700
1801,1202,8603,4670,8003,2,700
2182,1202,8603,4670,8003,2,700
1425,1202,8603,4670,8003,2,700
2406,1202,8603,4670,8003,2,700
563,1202,8603,4670,8003,2,700
960,1202,8603,4670,8003,2,700
2235,1202,8603,4670,8003,2,700
1410,1202,8603,4670,8003,2,700
397,1202,8603,4670,8003,2,700
1739,1202,8603,4670,8003,2,700
255,1202,8603,4670,8003,2,700
2291,1202,8603,4670,8003,2,700
1962,1202,8603,4670,8003,2,700
490,1202,8603,4670,8003,2,700
1893,1202,8603,4670,8003,2,700
1172,1202,8603,4670,8003,2,700
1905,1202,8603,4670,8003,2,700
104,1202,8603,4679,8003,2,700
2060,1202,8603,4670,8003,2,700
100,1202,8603,4679,8003,2,700
457,1202,8603,4670,8003,2,700
2030,1202,8603,4670,8003,2,700
1368,1202,8603,4670,8003,2,700
454,1202,8603,4670,8003,2,700
1706,1202,8603,4670,8003,2,700
499,1202,8603,4670,8003,2,700
1443,1202,8603,4670,8003,2,700
2301,1202,8603,4670,8003,2,700
2191,1202,8603,4670,8003,2,700
1493,1202,8603,4670,8003,2,700
1492,1202,8603,4670,8003,2,700
1907,1202,8603,4670,8003,2,700
2348,1202,8603,4670,8003,2,700
555,1202,8603,4670,8003,2,700
1945,1202,8603,4670,8003,2,700
1551,1202,8603,4670,8003,2,700
928,1202,8603,4670,8003,2,700
1214,1202,8603,4670,8003,2,700
2164,1202,8603,4670,8003,2,700
817,1202,8603,4670,8003,2,700
843,1202,8603,4670,8003,2,700
1388,1202,8603,4670,8003,2,700
469,1202,8603,4670,8003,2,700
350,1202,8603,4670,8003,2,700
214,1202,8603,4670,8003,2,700
25,1050,8650,4670,8421,1,1100
2185,1202,8603,4670,8003,2,700
1562,1202,8603,4670,8003,2,700
1279,1202,8603,4670,8003,2,700
472,1202,8603,4670,8003,2,700
1192,1202,8603,4670,8003,2,700
1261,1202,8603,4670,8003,2,700
382,1202,8603,4670,8003,2,700
286,1202,8603,4670,8003,2,700
755,1202,8603,4670,8003,2,700
2449,1202,8603,4670,8003,2,700
1895,1202,8603,4670,8003,2,700
1131,1202,8603,4670,8003,2,700
1559,1202,8603,4670,8003,2,700
1286,1202,8603,4670,8003,2,700
1607,1202,8603,4670,8003,2,700
337,1202,8603,4670,8003,2,700
442,1202,8603,4670,8003,2,700
1744,1202,8603,4670,8003,2,700
2496,1202,8603,4670,8003,2,700
1116,1202,8603,4670,8003,2,700
1035,1202,8603,4670,8003,2,700
121,1202,8603,4670,8003,2,700
1985,1202,8603,4670,8003,2,700
783,1202,8603,4670,8003,2,700
2382,1202,8603,4670,8003,2,700
1337,1202,8603,4670,8003,2,700
1994,1202,8603,4670,8003,2,700
194,1202,8603,4670,8003,2,700
987,1202,8603,4670,8003,2,700
1597,1202,8603,4670,8003,2,700
2495,1202,8603,4670,8003,2,700
1820,1202,8603,4670,8003,2,700
2062,1202,8603,4670,8003,2,700
558,1202,8603,4670,8003,2,700
1777,1202,8603,4670,8003,2,700
822,1202,8603,4670,8003,2,700
2047,1202,8603,4670,8003,2,700
1076,1202,8603,4670,8003,2,700
2260,1202,8603,4670,8003,2,700
1283,1202,8603,4670,8003,2,700
983,1202,8603,4670,8003,2,700
